PG_1pcCP,PG_1pcCP,G_1pcCP,G_1pcCP,P_1p5pcCP,P_1p5pcCP,PG_1p5pcCP,PG_1p5pcCP,G_1p5pcCP,G_1p5pcCP,P_2pcCP,P_2pcCP,PG_2pcCP,PG_2pcCP,G_2pcCP,G_2pcCP,P_3pc,P_3pc,PG_3pc,PG_3pc,G_3pc,G_3pc,P_5pc,P_5pc,PG_5pc,PG_5pc,G_5pc,G_5pc,P_8pc,P_8pc,PG_8pc,PG_8pc,G_8pc,G_8pc
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.000500692,0.359381366,0.000500692,1.097498765,0.000594557,0.453487851,0.001188796,3.678379772,0.000762034,4.86260158,0.001,5.590810183,0.001159786,14.17474163,0.001103871,19.6304065,0.002134116,29.45038042,0.001602943,43.15553415,0.001421211,60.61898993,0.002185275,91.20108394,0.001529066,150.316723,0.001421211,156.9105606,0.002134116,236.8893054,0.001602943,268.4306585,0.001455292,268.7495997
0.000657047,0.394420606,0.000610109,1.20450354,0.000761589,0.497702356,0.001521961,3.853528594,0.001050653,4.86260158,0.001249609,5.590810183,0.00156003,14.17474163,0.001312278,19.6304065,0.003117649,30.96770997,0.002283529,43.70296968,0.002177245,61.38234534,0.003268912,92.35375232,0.002338043,160.0956612,0.002177245,160.887291,0.003044662,249.094212,0.002393858,282.3123824,0.002229456,282.5445643
0.000905903,0.432876128,0.000743438,1.20450354,0.001025068,0.521400829,0.001948496,4.037017259,0.001345102,5.336699231,0.001561523,5.857020818,0.001997235,15.55676144,0.00163905,20.56512308,0.004775428,32.1567928,0.003491667,46.54609072,0.003181068,64.533112,0.004775428,94.7029781,0.003575022,168.3749083,0.003257351,167.0421561,0.004554453,261.9279345,0.003491667,289.5201747,0.003257351,297.0476268
0.001103871,0.453487851,0.001,1.20450354,0.00121905,0.572236766,0.002433695,4.229242874,0.001722073,5.857020818,0.001951293,5.857020818,0.002686486,15.55676144,0.002047193,20.56512308,0.007143474,32.5632147,0.005214505,49.57417259,0.004759157,66.16863474,0.00697624,97.11196173,0.004744927,177.0823116,0.004873283,173.4324802,0.006653425,278.9038732,0.005092924,300.6783718,0.004759157,316.227766
0.00148482,0.521400829,0.001218532,1.321941148,0.001414287,0.572236766,0.003115747,4.430621458,0.002204691,5.336699231,0.002828869,5.857020818,0.003439384,15.55676144,0.002753684,21.5443469,0.010435626,33.39153344,0.007605846,52.13786998,0.006953373,68.69996594,0.010435626,97.11196173,0.007255306,186.2400127,0.007120117,182.3348001,0.009952734,296.9800477,0.007428509,312.2666092,0.006790534,332.4597932
0.001948496,0.572236766,0.00156003,1.321941148,0.001811609,0.628029144,0.004190999,4.641588834,0.002965535,5.857020818,0.003623596,5.857020818,0.004403285,15.55676144,0.003796638,21.5443469,0.015610458,34.24092233,0.010582546,54.83414737,0.010159236,70.44109314,0.015245005,99.58222329,0.011093842,195.8712987,0.010402858,191.6940777,0.014539566,312.2809232,0.011093842,324.3014609,0.00992132,362.8963572
0.002556968,0.628029144,0.001900947,1.450828778,0.002692201,0.68926121,0.005637324,4.86260158,0.003988948,7.054802311,0.005253275,6.135907273,0.005637324,15.55676144,0.005365544,21.5443469,0.021749464,36.00506807,0.015435638,59.14224557,0.014843167,72.22634735,0.022804717,104.7128548,0.015435638,206.0006606,0.015199111,204.0716184,0.021240293,336.7229575,0.015804126,349.7805211,0.01449556,391.1932067
0.003613599,0.722080902,0.002556968,1.450828778,0.003807546,0.756463328,0.007582778,5.094138015,0.005365544,7.054802311,0.007247948,6.428073117,0.007582778,17.07352647,0.007582778,22.5701972,0.031772955,37.86010536,0.023602109,62.98977731,0.022206684,78.83864118,0.033314534,111.4994506,0.023602109,219.4021484,0.022206684,217.2483675,0.032534616,363.0780548,0.023602109,382.0469952,0.021686632,421.6965034
0.005106867,0.869749003,0.003613599,1.7475284,0.005384964,0.911162756,0.010716252,5.590810183,0.007217206,7.054802311,0.010771051,6.428073117,0.010716252,17.07352647,0.002893166,21.5443469,0.046415888,39.81071706,0.033623223,68.80044399,0.031685286,83.92919226,0.048667921,118.7258957,0.034425895,236.6396919,0.033223151,234.1883126,0.046415888,391.4959492,0.034425895,417.2899797,0.031685286,460.3026533
0.007397734,0.954548457,0.00486066,1.7475284,0.007615886,0.954548457,0.01514459,6.734150658,0.010716252,8.497534359,0.016006673,7.054802311,0.01514459,20.56512308,0.010984304,23.64489413,0.071097094,43.46921708,0.050213405,75.14713173,0.046293835,90.47357242,0.071097094,126.4206974,0.050213405,258.4691765,0.048540735,255.628161,0.069432657,427.4733955,0.051412127,461.5657518,0.046293835,496.1947603
0.010716252,1.097498765,0.006869259,1.7475284,0.01104106,1.149756995,0.02248699,7.390722034,0.015911706,10.23531022,0.022638034,7.390722034,0.021402874,20.56512308,0.01514459,24.77076356,0.101431498,46.87152576,0.073240972,81.05113933,0.069259647,98.75639257,0.106352811,136.3155671,0.074989421,296.911991,0.070920513,275.5607711,0.101431498,460.9314733,0.073240972,523.5740365,0.067637676,555.3480067
0.01552341,1.321941148,0.010716252,2.104904145,0.016006673,1.321941148,0.031779417,9.770099573,0.023626019,11.23324033,0.032016684,8.497534359,0.030247306,22.5701972,0.021402874,23.64489413,0.151729476,51.1788955,0.10937912,90.78815639,0.101191911,107.7975017,0.159091175,148.8426086,0.111990279,324.3014609,0.103618522,304.5759813,0.151729476,503.2898615,0.10937912,586.4732056,0.103618522,621.5531344
